Filename,True,Pred,Score
103.jpg,Hauskatze,Hauskatze,0.9922
105.jpg,Hauskatze,Hauskatze,1.0
107.jpg,Hauskatze,Großkatze,0.9997
114.gif,Hauskatze,Hauskatze,1.0
115.jpg,Hauskatze,Hauskatze,1.0
116.jpg,Hauskatze,Hauskatze,0.7583
121.jpg,Hauskatze,Hauskatze,1.0
201.jpg,Kleinkatze,Großkatze,1.0
203.jpg,Kleinkatze,Kleinkatze,0.9363
208.jpg,Kleinkatze,Kleinkatze,1.0
209.jpg,Kleinkatze,Hauskatze,1.0
214.jpg,Kleinkatze,Großkatze,1.0
216.jpg,Kleinkatze,Kleinkatze,0.9999
218.jpg,Kleinkatze,Kleinkatze,1.0
219.jpg,Kleinkatze,Kleinkatze,0.9973
220.jpg,Kleinkatze,Kleinkatze,1.0
221.jpg,Kleinkatze,Kleinkatze,1.0
302.jpg,Großkatze,Großkatze,1.0
305.jpg,Großkatze,Hauskatze,1.0
307.jpg,Großkatze,Großkatze,1.0
309.jpg,Großkatze,Großkatze,1.0
317.jpg,Großkatze,Großkatze,1.0
319.jpg,Großkatze,Großkatze,1.0
320.jpg,Großkatze,Großkatze,1.0
401.png,Hauskatze,Hauskatze,1.0
403.png,Hauskatze,Großkatze,0.9745
504.jpg,Kleinkatze,Kleinkatze,1.0
506.jpg,Kleinkatze,Kleinkatze,0.9922
604.jpg,Großkatze,Kleinkatze,1.0
606.jpg,Großkatze,Kleinkatze,0.548
